# Je drei Spalten beschreiben ein L: Temperatur, Wert, Fehler
# L:  16 32 64 128 256
1.294 None 0   None 0   None 0   None 0   1.09424516893 0
1.3 0.778768372355 0   None 0   None 0   0.811812108098 0   1.05744071575 0
1.306 None 0   None 0   None 0   None 0   0.96979845523 0
1.31 None 0   None 0   1.13411693812 0   0.75086954866 0   None 0
1.312 None 0   None 0   None 0   None 0   1.33330746516 0
1.318 None 0   None 0   None 0   None 0   1.45458690487 0
1.32 None 0   None 0   None 0   0.773955795535 0   None 0
1.324 None 0   None 0   None 0   None 0   1.09090275383 0
1.33 None 0   None 0   None 0   0.962561791957 0   0.969809490199 0
1.336 None 0   None 0   None 0   None 0   0.814657588053 0
1.34 None 0   None 0   0.929404886202 0   1.05374241986 0   None 0
1.342 None 0   None 0   None 0   None 0   0.835153566262 0
1.348 None 0   None 0   None 0   None 0   0.750895487541 0
1.35 None 0   1.35891084816 0   None 0   1.17168385745 0   None 0
1.354 None 0   None 0   None 0   None 0   0.935871697342 0
1.36 None 0   None 0   None 0   1.10799462844 0   0.88543629293 0
1.366 None 0   None 0   None 0   None 0   0.889063715335 0
1.37 None 0   None 0   0.989736471814 0   1.39047636776 0   None 0
1.372 None 0   None 0   None 0   None 0   0.841935142775 0
1.378 None 0   None 0   None 0   None 0   0.956035765691 0
1.38 None 0   None 0   None 0   1.17237192609 0   None 0
1.384 None 0   None 0   None 0   None 0   1.27625079934 0
1.39 None 0   None 0   None 0   1.03010056621 0   0.815042441539 0
1.396 None 0   None 0   None 0   None 0   0.828178427247 0
1.4 None 0   None 0   1.01988605952 0   0.939973450787 0   None 0
1.402 None 0   None 0   None 0   None 0   1.05058994037 0
1.408 None 0   None 0   None 0   None 0   1.26266217378 0
1.41 None 0   None 0   None 0   1.05976534187 0   None 0
1.414 None 0   None 0   None 0   None 0   1.05387482303 0
1.42 None 0   None 0   None 0   0.939260205692 0   1.23907728141 0
1.426 None 0   None 0   None 0   None 0   1.21535148128 0
1.43 None 0   None 0   1.02947622235 0   None 0   None 0
1.432 None 0   None 0   None 0   None 0   1.09417338264 0
1.438 None 0   None 0   None 0   None 0   1.22228409867 0
1.44 None 0   1.09648623651 0   None 0   0.808297853582 0   None 0
1.444 None 0   None 0   None 0   None 0   1.08702009525 0
1.45 0.995300173358 0   None 0   None 0   None 0   0.969712405403 0
1.456 None 0   None 0   None 0   None 0   1.09098002908 0
1.46 None 0   None 0   0.953266990134 0   0.84848787696 0   None 0
1.462 None 0   None 0   None 0   None 0   1.0541372458 0
