# Je drei Spalten beschreiben ein Sigma: Temperatur, Wert, Fehler
# Sigma:  0.0 0.03 0.05 0.08 0.1 0.12 0.15 0.2 0.25 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.0 1.1 1.2
0.1 1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0  
0.85 None None   None None   None None   None None   None None   None None   None None   0.995420223024 1.12856822214e-05   0.993190409322 1.35528789767e-05   0.991631901426 1.55237227294e-05   0.989188550536 2.10264933112e-05   0.987149500388 2.9837915962e-05   0.985530208462 3.44972848629e-05   0.984311201502 3.71591256296e-05   0.983554776284 3.51312222715e-05   0.983027764548 3.93272264323e-05   0.982596889508 3.45187120651e-05   0.982325614332 3.54093279835e-05   0.98213257096 3.95012248074e-05  
0.86 0.999810313098 2.20362904928e-07   0.999808821962 2.35491052752e-07   0.999807754692 2.08864059327e-07   0.999786639606 3.33162285706e-07   0.999647634574 1.11724143255e-06   0.999231141956 2.66487765892e-06   0.99796802041 6.06999405701e-06   0.995090308406 1.0995515226e-05   0.992692423668 1.65430982734e-05   0.9910081814 1.62192020576e-05   0.98835978603 2.44243041204e-05   0.986150008374 2.98833586298e-05   0.984401565962 3.33625254485e-05   0.983080742136 3.63720816417e-05   0.982269011394 3.74235794274e-05   0.981696589658 4.00421707604e-05   0.98123115078 3.48260373757e-05   0.98092958809 4.3166908205e-05   0.98072357657 4.28290099758e-05  
0.87 None None   None None   None None   None None   None None   None None   None None   0.994742734306 1.22418719705e-05   0.992166004296 1.71836984164e-05   0.990345898704 1.78045687038e-05   0.987470571226 2.26619952692e-05   0.985087501162 2.94277838008e-05   0.983190570966 3.55785874683e-05   0.981758570224 4.15784289862e-05   0.980875755992 4.00730407071e-05   0.980267840618 4.2187714121e-05   0.979764737564 4.04721933123e-05   0.979439852958 4.13441225915e-05   0.97921826173 4.39984773268e-05  
0.88 None None   None None   None None   None None   None None   None None   None None   0.994372589102 1.26890521088e-05   0.991602955512 1.71319712037e-05   0.989637992724 1.84157946463e-05   0.986539986952 2.51103239304e-05   0.983954252306 3.23159374865e-05   0.981910188962 3.79972901519e-05   0.980361999016 4.20291080601e-05   0.979406995102 4.09124539254e-05   0.978742315488 4.72361442632e-05   0.978197771624 4.88540102074e-05   0.977852860182 4.58905049902e-05   0.97760294691 4.89384455926e-05  
0.89 0.99973798025 2.58028163836e-07   0.999737756232 2.4409776022e-07   0.999735372766 2.15154658924e-07   0.999708040122 4.48006797275e-07   0.999535855134 1.26748944831e-06   0.999023771648 2.95401625946e-06   0.997491271912 7.25148960577e-06   0.993986132588 1.25418097672e-05   0.991016562656 1.70315164212e-05   0.988899271928 1.99580087602e-05   0.985545525792 2.68038412311e-05   0.982744409538 3.6961175334e-05   0.980530955498 3.94660167194e-05   0.978862980028 4.63932476389e-05   0.977841165068 4.84092771338e-05   0.977109641224 5.11684233785e-05   0.97651762451 4.76963343034e-05   0.976149742532 5.57698147957e-05   0.97588836093 4.99547212716e-05  
0.9 None None   None None   None None   None None   None None   None None   None None   0.993576743244 1.34255610441e-05   0.99038698269 1.97023436735e-05   0.988108263004 2.05160732058e-05   0.984488481402 3.1919807234e-05   0.981469423262 3.80625853489e-05   0.979071601794 4.38677415619e-05   0.977272590696 5.20569614745e-05   0.976155957408 4.97307200897e-05   0.975371600314 5.57032520553e-05   0.974739502704 5.08556826356e-05   0.974334547168 5.41047254874e-05   0.974052255528 5.56154531876e-05  
0.91 None None   None None   None None   None None   None None   None None   None None   0.993145823304 1.43659833457e-05   0.989728733306 2.12957680312e-05   0.98727401576 2.34037610922e-05   0.983372694372 3.17414722887e-05   0.980104699134 4.22143858099e-05   0.977516050328 5.1254729608e-05   0.975570883872 5.30282390348e-05   0.974357828882 5.5104055968e-05   0.973511333292 5.87631933877e-05   0.97282430937 5.44616465312e-05   0.972390827756 6.12617517119e-05   0.972074553624 6.01074745638e-05  
0.92 0.999647029214 3.07011506038e-07   0.999645949384 3.00718317073e-07   0.999643119476 3.05143858775e-07   0.999608244924 4.79611656963e-07   0.999396236596 1.58284772143e-06   0.998774035572 4.0718309965e-06   0.99693398329 8.66061716581e-06   0.992695903138 1.5517404521e-05   0.989033135742 2.13370321337e-05   0.9863916912 2.34357978981e-05   0.982178267226 3.54333191453e-05   0.978657521634 4.21351224095e-05   0.975858084106 5.01884170626e-05   0.973749902916 6.10481527829e-05   0.972457177348 5.60798509072e-05   0.971518968144 5.96998935037e-05   0.97078030403 5.87819948623e-05   0.970312314096 6.10304837352e-05   0.96996987963 6.35526812263e-05  
0.93 None None   None None   None None   None None   None None   None None   None None   0.992218946154 1.62437172337e-05   0.988300577394 2.35978050794e-05   0.985459547224 2.43002430311e-05   0.9809317003 3.44525170773e-05   0.977107945718 4.85700247748e-05   0.974089211172 6.56218167527e-05   0.971818170538 6.78719690389e-05   0.970394654176 6.36925114429e-05   0.969415207132 6.86783695509e-05   0.968595901584 6.55072462403e-05   0.968093675112 7.39272165481e-05   0.967719621132 6.96915598371e-05  
0.94 None None   None None   None None   None None   None None   None None   None None   0.99172016294 1.79528275131e-05   0.987535833714 2.31568136601e-05   0.9844738278 2.61595569517e-05   0.979589086478 3.71991921283e-05   0.975478363234 5.35409198683e-05   0.972212503582 6.23512187143e-05   0.9697454477 7.18387153522e-05   0.968215456638 6.89577320135e-05   0.967134211458 7.39961280935e-05   0.96626072992 7.20582205852e-05   0.965716342898 7.79266680596e-05   0.965303197336 7.61868981614e-05  
