# Je vier Spalten beschreiben ein Sigma: g, xi, gFehler, xiFehler
# Sigma:  0.0 0.5 1.0
None 1.0 None 0.0  None 1.0 None 0.0  None 1.0 None 0.0  
None None None None  None 0.999999999999 None 6.01203236935e-13  None 0.999999999998 None 7.05731075406e-13  
None None None None  None None None None  None None None None  
None 1.0 None 0.0  None 0.99999999996 None 4.13887922343e-12  None 0.999999999931 None 8.4519825649e-12  
None None None None  None None None None  None None None None  
None None None None  None 0.999999999595 None 1.37242286471e-11  None 0.999999999289 None 2.85837106174e-11  
None None None None  None None None None  None None None None  
None 1.0 None 0.0  None 0.999999997863 None 3.53559030621e-11  None 0.999999996382 None 6.94249966636e-11  
None None None None  None None None None  None None None None  
None None None None  None 0.999999992309 None 1.0735094628e-10  None 0.999999987102 None 1.44275527149e-10  
None None None None  None None None None  None None None None  
None 0.999999999999 None 3.23915794587e-13  None 0.999999977561 None 2.86587201997e-10  None 0.999999963369 None 2.84141675187e-10  
None None None None  None None None None  None None None None  
None None None None  77.4009004489 0.999991789517 0.269098081307 4.24082718391e-08  58.538460001 0.999985776152 0.156829760338 6.86711276684e-08  
None 0.99999995189 None 1.8532395215e-10  73.5777127671 0.999990905993 0.144589541839 3.45656881379e-08  55.4525578136 0.999984148313 0.160341927433 7.18536863187e-08  
None None None None  70.1292460299 0.999989966046 0.146196648525 6.20511078615e-08  52.5376228584 0.999982427986 0.129902029345 1.01628211109e-07  
None None None None  66.6117683851 0.999988903011 0.163498252834 5.42912495613e-08  49.7718523761 0.999980335865 0.160255386872 1.03986406608e-07  
None 0.999999933158 None 2.36129424554e-10  63.4635423348 0.999987785302 0.163594990285 4.83446090717e-08  47.0035842566 0.999978065737 0.164881181834 1.19886139813e-07  
None None None None  60.3174295184 0.999986429542 0.176186162142 4.46000971917e-08  44.5361919962 0.999975421418 0.114118141667 1.51792995319e-07  
None None None None  57.4163917657 0.999985019036 0.159406183963 6.47656521874e-08  42.1475410815 0.999972560505 0.153495424772 1.23175688402e-07  
None 0.999999909406 None 4.24848337107e-10  54.5565271254 0.999983422887 0.148525787258 1.00792647266e-07  39.7546803475 0.999969259788 0.145266518651 1.80163281599e-07  
None None None None  51.9554882454 0.999981613268 0.136073389478 9.39906888256e-08  37.6453513602 0.999965447446 0.119675495731 1.90972448448e-07  
None None None None  49.286960859 0.999979773768 0.120145993785 1.00834056312e-07  35.4344183511 0.999961230075 0.104194818556 1.88266750466e-07  
None 0.999999878492 None 5.14204240731e-10  46.7891806717 0.99997750164 0.140107469236 1.19818825091e-07  33.4805245826 0.999956538108 0.11094257507 2.47957743661e-07  
None None None None  44.3666731384 0.999975117768 0.122856612753 1.37193795185e-07  31.4909888301 0.99995082065 0.0801117305839 3.32286980763e-07  
None None None None  42.1139898101 0.999972399687 0.166683223656 1.38770188679e-07  29.6163078405 0.999944549353 0.111951052718 3.100383913e-07  
2201.64514662 0.999999838685 33.8087519979 5.9583826423e-10  39.9680959668 0.999969336536 0.106024766006 2.01838424739e-07  27.8182416597 0.999937192242 0.0959675128049 2.94314982005e-07  
