# Je vier Spalten beschreiben ein Sigma: g, xi, gFehler, xiFehler
# Sigma:  0.0 0.5 1.0
None 1.0 None 0.0  None 1.0 None 0.0  None 1.0 None 0.0  
None None None None  None None None None  None None None None  
None None None None  None 0.00852657263274 None 0.00717693616459  None 0.00290208082768 None 0.00499160773886  
None None None None  None None None None  None None None None  
8.90411636407 0.999350878656 0.0148041813831 2.64513739015e-06  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.00686721142281 None 0.00590470426035  None 0.00981314585652 None 0.0060702580456  
None None None None  None None None None  None None None None  
7.62298665029 0.999110483112 0.0151759821438 3.39873426014e-06  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.00947219632233 None 0.00680250163946  None 0.0088951083687 None 0.00479125082915  
6.42620823323 0.998740484938 0.0102779213243 5.78091047573e-06  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
5.25544794075 0.998098694157 0.0107825160406 8.31449856446e-06  None 0.00593872445062 None 0.00444883536682  None 0.00426711703231 None 0.00631523157126  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
4.14573960097 0.996876853588 0.00858526084982 1.5939155602e-05  None None None None  None None None None  
None None None None  None -0.000689656462144 None 0.00668211165397  None 0.000383472412874 None 0.00645941006039  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
3.10148117815 0.994179191907 0.00694554874814 4.15316320601e-05  None None None None  None None None None  
None None None None  None 0.00129014310273 None 0.00498293712206  None 0.00890170383262 None 0.00493367002506  
None None None None  None None None None  None None None None  
2.12483456914 0.986735161045 0.00584868025913 6.48743067335e-05  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.000976216894528 None 0.00600193790435  None 0.00271907382567 None 0.00659093894667  
None None None None  None None None None  None None None None  
1.29937000992 0.960553744284 0.00359887989033 0.000235350038253  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None -0.000238246244027 None 0.00504746873184  None 0.00669641198835 None 0.00536380145931  
0.737772808678 0.874100731596 0.00095226635602 0.00055769146711  None None None None  None None None None  
None None None None  None None None None  None None None None  
0.511829734925 0.757232464513 0.00123173769569 0.000727170052845  None 0.010167111406 None 0.00535099255472  None 0.00759529161236 None 0.00594168975816  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
0.250273491105 0.386468461972 0.000503693147407 0.00205419213592  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.00690260097907 None 0.00461455793555  None 0.00233156271668 None 0.00488306242611  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
0.159599730614 0.18153252808 0.000777614634227 0.00413095617995  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.00246727974989 None 0.00682225535266  None 0.00807745098572 None 0.0059452560085  
0.117044916593 0.10056815947 0.000504163470352 0.00373605418609  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
0.0925742004679 0.068075680611 0.000649929490305 0.00548476387734  None None None None  None None None None  
