# Je drei Spalten beschreiben ein L: Temperatur, Wert, Fehler
# L:  16 32 64 128
2.49 None None   0.259432800278 0.001106081903   None None   None None  
2.5 None None   None None   0.0681821559404 0.00226360604192   0.0206317731374 0.00304749158412  
2.51 None None   None None   None None   None None  
2.53 None None   None None   None None   0.0103789683738 0.00374131486025  
2.54 None None   None None   None None   None None  
2.545 None None   None None   None None   None None  
2.55 None None   None None   0.048813022799 0.00272337801551   None None  
2.56 None None   None None   None None   0.0143022428339 0.00383409604326  
2.58 None None   0.145970658164 0.00161009196744   None None   None None  
2.59 None None   None None   None None   0.0059988494968 0.0040803886738  
2.6 0.414232747413 0.000797934661972   None None   0.0312047911178 0.00254672003635   None None  
2.615 None None   None None   None None   None None  
2.62 None None   None None   None None   0.0112147762897 0.00315261985534  
2.63 None None   None None   None None   None None  
2.65 None None   None None   0.024497753925 0.00365050553156   0.00432822895393 0.00362829248697  
2.67 None None   0.0915929384395 0.0016293299793   None None   None None  
2.68 None None   None None   None None   0.00289698200991 0.00322359801548  
2.685 None None   None None   None None   None None  
2.7 None None   None None   0.0249439532466 0.00374595900063   None None  
2.71 None None   None None   None None   0.0102231118007 0.00334551237659  
2.72 None None   None None   None None   None None  
2.74 None None   None None   None None   0.00725308927179 0.00323983359552  
2.75 None None   None None   0.00718013322156 0.00369908825717   None None  
2.755 None None   None None   None None   None None  
2.76 None None   0.0682550159617 0.00174777251118   None None   None None  
2.77 None None   None None   None None   0.00524141188385 0.00361436410995  
2.79 None None   None None   None None   None None  
2.8 0.219519460401 0.00130355849836   None None   0.0171978229333 0.00347458771541   0.000594468006101 0.0032306559429  
2.81 None None   None None   None None   None None  
2.825 None None   None None   None None   None None  
2.83 None None   None None   None None   0.00368983539511 0.00354136126323  
2.85 None None   0.0481387199851 0.0021184633804   0.0135248412812 0.00328093029202   None None  
2.86 None None   None None   None None   -0.000295634831603 0.00338838417888  
2.89 None None   None None   None None   0.00721428511248 0.00431427106059  
2.895 None None   None None   None None   None None  
2.9 None None   None None   0.0136362849563 0.00318238322113   None None  
2.92 None None   None None   None None   0.00314566819162 0.00332901896557  
2.93 None None   None None   None None   None None  
2.94 None None   0.0385571928122 0.00249469534254   None None   None None  
2.95 None None   None None   0.0135565835872 0.00371962467368   0.00335740420218 0.00333734758297  
2.965 None None   None None   None None   None None  
2.98 None None   None None   None None   -0.00173628090086 0.00289069535727  
2.99 None None   None None   None None   None None  
3.0 0.131900348698 0.00148870846663   None None   0.0147899791026 0.00317854510738   None None  
3.01 None None   None None   None None   0.00125855052673 0.00348420986339  
3.03 None None   0.0319392209542 0.00248471684432   None None   None None  
3.035 None None   None None   None None   None None  
3.04 None None   None None   None None   0.0007453311346 0.00324321362347  
3.05 None None   None None   0.00892656927362 0.00338125424379   None None  
3.07 None None   None None   None None   0.00789530960255 0.00311747658015  
3.08 None None   None None   None None   None None  
3.1 None None   None None   0.00392370465575 0.00418102316685   -0.00318436273585 0.00326025001259  
3.105 None None   None None   None None   None None  
3.12 None None   0.0260045502501 0.00225879546217   None None   None None  
3.13 None None   None None   None None   -0.00134319715602 0.00395509900041  
3.14 None None   None None   None None   None None  
3.15 None None   None None   0.00255671484635 0.00380476814753   None None  
3.16 None None   None None   None None   -0.00480634399148 0.00349944401828  
3.17 None None   None None   None None   None None  
3.175 None None   None None   None None   None None  
3.19 None None   None None   None None   0.00609586639258 0.00294695778345  
3.2 0.0917824079611 0.00188741063096   None None   0.00668035784913 0.00306887643348   None None  
3.21 None None   0.0210465185636 0.00219326669961   None None   None None  
3.22 None None   None None   None None   0.0044892901337 0.00321199606375  
3.245 None None   None None   None None   None None  
3.25 None None   None None   0.00369420418799 0.0036636527247   -0.00167068864047 0.00362982022183  
3.26 None None   None None   None None   None None  
3.28 None None   None None   None None   0.00287898879913 0.00326166748801  
